176,73822.647,34925.881,94.044
177,73822.796,34928.384,94.088
178,73822.946,34930.931,94.13
179,73823.095,34933.439,94.174
180,73823.255,34936.091,94.22
181,73823.394,34938.521,94.26
182,73823.539,34941.02,94.305
183,73823.691,34943.651,94.352
184,73823.834,34946.099,94.393
185,73823.986,34948.754,94.437
186,73824.111,34950.892,94.479
187,73824.251,34953.328,94.528
188,73824.398,34955.93,94.575
189,73824.54,34958.389,94.617
190,73824.69,34960.999,94.662
191,73824.835,34963.497,94.702
192,73824.981,34966.021,94.748
