Point ID,Easting,Northing,Height
TP01,531977.5308,179606.7198,8.1810
TP02,514249.4551,195866.7541,87.2994
TP03,548838.1956,196766.6265,50.6104
TP04,515001.4380,162505.5271,27.3815
TP05,549818.1652,163407.2403,174.4129
